PWSID,ZIPCODE
CA1910067,91212
CA1910067,91213
CA1910067,91214
CA1910067,91215
CA1910067,91216
CA1910067,91217
CA1910067,91218
CA1910067,91219
CA1910067,91220
CA1910067,91221
CA1910067,91222
CA1910067,91223
CA1910067,91224
CA1910067,91225
CA1910067,91226
CA1910067,91227
CA1910067,91228
CA1910067,91229
CA1910067,91230
CA1910067,91231
CA1910067,91232
CA1910067,91233
CA1910067,91234
CA1910067,91235
CA1910067,91236
CA1910067,91237
CA1910067,91238
CA1910067,91239
CA1910067,91240
CA1910067,91241
CA1910067,91242
CA1910067,91243
CA1910067,91244
CA1910067,91245
CA1910067,91246
CA1910067,91247
CA1910067,91248
CA1910067,91249
CA1910067,91250
CA1910067,91251
CA1910067,91252
CA1910067,91253
CA1910067,91254
CA1910067,91255
CA1910067,91256
CA1910067,91257
CA1910067,91258
CA1910067,91259
CA1910067,91260
CA1910067,91261
CA1910067,91262
CA1910067,91263
CA1910067,91264
CA1910067,91265
CA1910067,91266
CA1910067,91267
CA1910067,91268
CA1910067,91269
CA1910067,91270
CA1910067,91271
CA1910067,91272
CA1910067,91273
CA1910067,91274
CA1910067,91275
CA1910067,91276
CA1910067,91277
CA1910067,91278
CA1910067,91279
CA1910067,91280
CA1910067,91281
CA1910067,91282
CA1910067,91283
CA1910067,91284
CA1910067,91285
CA1910067,91286
CA1910067,91287
CA1910067,91288
CA1910067,91289
CA1910067,91290
CA1910067,91291
CA1910067,91292
CA1910067,91293
CA1910067,91294
CA1910067,91295
CA1910067,91296
CA1910067,91297
CA1910067,91298
CA1910067,91299
CA1910067,91300
CA1910067,91301
CA1910067,91302
CA1910067,91303
CA1910067,91304
CA1910067,91305
CA1910067,91306
CA1910067,91307
CA1910067,91308
CA1910067,91309
CA1910067,91310
CA1910067,91311
CA1910067,91312
CA1910067,91313
CA1910067,91314
CA1910067,91315
CA1910067,91316
CA1910067,91317
CA1910067,91318
CA1910067,91319
CA1910067,91320
CA1910067,91321
CA1910067,91322
CA1910067,91323
CA1910067,91324
CA1910067,91325
CA1910067,91326
CA1910067,91327
CA1910067,91328
CA1910067,91329
CA1910067,91330
CA1910067,91331
CA1910067,91332
CA1910067,91333
CA1910067,91334
CA1910067,91335
CA1910067,91336
CA1910067,91337
CA1910067,91338
CA1910067,91339
CA1910067,91340
CA1910067,91341
CA1910067,91342
CA1910067,91343
CA1910067,91344
CA1910067,91345
CA1910067,91346
CA1910067,91347
CA1910067,91348
CA1910067,91349
CA1910067,91350
CA1910067,91351
CA1910067,91352
CA1910067,91353
CA1910067,91354
CA1910067,91355
CA1910067,91356
CA1910067,91357
CA1910067,91358
CA1910067,91359
CA1910067,91360
CA1910067,91361
CA1910067,91362
CA1910067,91363
CA1910067,91364
CA1910067,91365
CA1910067,91366
CA1910067,91367
CA1910067,91368
CA1910067,91369
CA1910067,91370
CA1910067,91371
CA1910067,91372
CA1910067,91373
CA1910067,91374
CA1910067,91375
CA1910067,91376
CA1910067,91377
CA1910067,91378
CA1910067,91379
CA1910067,91380
CA1910067,91381
CA1910067,91382
CA1910067,91383
CA1910067,91384
CA1910067,91385
CA1910067,91386
CA1910067,91387
CA1910067,91388
CA1910067,91389
CA1910067,91390
CA1910067,91391
CA1910067,91392
CA1910067,91393
CA1910067,91394
CA1910067,91395
CA1910067,91396
CA1910067,91397
CA1910067,91398
CA1910067,91399
CA1910067,91400
CA1910067,91401
CA1910067,91402
CA1910067,91403
CA1910067,91404
CA1910067,91405
CA1910067,91406
CA1910067,91407
CA1910067,91408
CA1910067,91409
CA1910067,91410
CA1910067,91411
CA1910067,91412
CA1910067,91413
CA1910067,91414
CA1910067,91415
CA1910067,91416
CA1910067,91417
CA1910067,91418
CA1910067,91419
CA1910067,91420
CA1910067,91421
CA1910067,91422
CA1910067,91423
CA1910067,91424
CA1910067,91425
CA1910067,91426
CA1910067,91427
CA1910067,91428
CA1910067,91429
CA1910067,91430
CA1910067,91431
CA1910067,91432
CA1910067,91433
CA1910067,91434
CA1910067,91435
CA1910067,91436
CA1910067,91437
CA1910067,91438
CA1910067,91439
CA1910067,91440
CA1910067,91441
CA1910067,91442
CA1910067,91443
CA1910067,91444
CA1910067,91445
CA1910067,91446
CA1910067,91447
CA1910067,91448
CA1910067,91449
CA1910067,91450
CA1910067,91451
CA1910067,91452
CA1910067,91453
CA1910067,91454
CA1910067,91455
CA1910067,91456
CA1910067,91457
CA1910067,91458
CA1910067,91459
CA1910067,91460
CA1910067,91461
CA1910067,91462
CA1910067,91463
CA1910067,91464
CA1910067,91465
CA1910067,91466
CA1910067,91467
CA1910067,91468
